id,severity_estimated,severity_source,impact_type,reachability,blast_radius,severity_why
geth:ethereum-go-ethereum:PR#28361,high,llm-estimated,liveness_dos,remote_single_message_or_tx,spec_level,A crafted transaction causing a panic in the state trie logic of the dominant client would bring down >33% of the network.
geth:ethereum-go-ethereum:PR#27868,not-eligible,llm-estimated,none,local_internal,client_specific,This is a utility improvement for decoding Solidity panic messages for human readability and has no impact on network consensus or stability.
geth:ethereum-go-ethereum:PR#27691,not-eligible,llm-estimated,none,remote_needs_conditions,client_specific,"The panic occurs in a tracer, which is a non-consensus debugging tool, and therefore has no impact on network stability or value integrity."
geth:ethereum-go-ethereum:PR#26817,not-eligible,llm-estimated,local_only,remote_single_message_or_tx,client_specific,"The panic occurs in the RPC layer and only affects the local node's availability, not the network-wide consensus or state."
geth:ethereum-go-ethereum:PR#27039,not-eligible,llm-estimated,none,local_internal,client_specific,"The panic occurs only in local CLI commands and account management, which cannot be triggered by a remote packet or transaction."
geth:ethereum-go-ethereum:PR#26848,not-eligible,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"The crash occurs within a tracer, which is a diagnostic tool and not part of the consensus critical path, resulting in no network-scale impact."
geth:ethereum-go-ethereum:PR#26652,high,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A remote attacker can trigger a panic in the downloader, crashing a dominant client (~45-55% share), thereby bringing down >33% of the network."
geth:ethereum-go-ethereum:PR#26563,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A nil pointer dereference in the Engine API allows a single malformed message to crash a dominant client, potentially bringing down >5% of the network."
geth:ethereum-go-ethereum:PR#24946,high,llm-estimated,liveness_dos,remote_single_message_or_tx,spec_level,"A single malformed block payload could panic a dominant client (~45-55% share), crashing >33% of the network."
geth:ethereum-go-ethereum:PR#24657,not-eligible,llm-estimated,none,local_internal,client_specific,The panic occurs exclusively within benchmark test files and cannot be triggered by remote input or affect the production network.
geth:ethereum-go-ethereum:PR#24641,low,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,Remote triggerable panic in light client sync logic that crashes the individual node but does not affect consensus or full nodes.
geth:ethereum-go-ethereum:PR#24537,not-eligible,llm-estimated,none,local_internal,client_specific,"The fix removes a panic from a fuzzer test and performs minor string/naming cleanup, resulting in no network-scale impact."
geth:ethereum-go-ethereum:PR#24242,not-eligible,llm-estimated,none,local_internal,client_specific,"The panic occurs in SimulatedBackend, which is a testing utility and not used in the production network path."
geth:ethereum-go-ethereum:PR#23053,not-eligible,llm-estimated,none,local_internal,client_specific,"The fix addresses a nil pointer panic within a test file, which has no impact on the running network."
geth:ethereum-go-ethereum:PR#23225,not-eligible,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"The panic occurs in an RPC API method, which is a client-specific interface and does not impact network consensus or the global chain state."
geth:ethereum-go-ethereum:PR#23133,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,"The panic occurs in an RPC API handler, which is client-specific and not triggerable via a single remote network packet or on-chain transaction."
geth:ethereum-go-ethereum:PR#23538,not-eligible,llm-estimated,local_only,local_internal,client_specific,"The defect occurs during genesis block commitment, which is a local initialization step and cannot be triggered by a remote network packet or on-chain transaction."
geth:ethereum-go-ethereum:PR#23865,not-eligible,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"The fix primarily targets test code and light client (LES) functionality, which does not impact network consensus or the required threshold of nodes."
geth:ethereum-go-ethereum:PR#22233,not-eligible,llm-estimated,none,local_internal,client_specific,The panic occurred within a test fuzzer helper and does not affect the production client binary or network operations.
geth:ethereum-go-ethereum:PR#23047,high,llm-estimated,liveness_dos,remote_single_message_or_tx,spec_level,"A single transaction containing the BASEFEE opcode causes a panic in a dominant client (>33% market share), leading to a network-scale DOS."
geth:ethereum-go-ethereum:PR#22551,not-eligible,llm-estimated,liveness_dos,remote_needs_conditions,spec_level,"The panic is triggered by a race condition during block import/mining, not by a single remote packet or transaction."
geth:ethereum-go-ethereum:PR#22225,not-eligible,llm-estimated,none,local_internal,client_specific,"The panic occurs in state dumping utility code, which is not reachable via remote transactions and does not affect consensus."
geth:ethereum-go-ethereum:PR#21864,not-eligible,llm-estimated,none,local_internal,client_specific,The panic occurs in local CPU metrics collection and cannot be triggered by a remote network packet or on-chain transaction.
geth:ethereum-go-ethereum:PR#20948,high,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A crafted transaction triggering these paths causes a deadlock in Geth, which represents >33% of the network, leading to a massive liveness failure."
geth:ethereum-go-ethereum:PR#20653,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,"The bug is an internal mutex deadlock triggered by a panic, which is not reachable via a single remote network packet or transaction."
geth:ethereum-go-ethereum:PR#20612,not-eligible,llm-estimated,none,local_internal,client_specific,"The panic occurs in the tracing toolset, which is used for debugging and does not impact network consensus, value integrity, or overall liveness."
geth:ethereum-go-ethereum:PR#20540,not-eligible,llm-estimated,none,local_internal,client_specific,The PR only adds verbosity to an existing panic and does not fix the underlying cause or prevent the crash.
geth:ethereum-go-ethereum:PR#19757,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,"The panic is triggered by local configuration and database state during sync, not by a remote network packet or transaction."
geth:ethereum-go-ethereum:PR#20013,high,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A single malicious P2P packet triggers a nil pointer panic, crashing the dominant client and thus bringing down >33% of the network."
geth:ethereum-go-ethereum:PR#18344,not-eligible,llm-estimated,none,local_internal,client_specific,The panic occurs in a local CLI tool (puppeth) used for genesis generation and cannot be triggered via network messages or transactions.
geth:ethereum-go-ethereum:PR#17798,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,"The panic occurs in a utility ABI helper package, affecting local tooling or RPCs rather than the consensus engine, and cannot take down the network."
geth:ethereum-go-ethereum:PR#17412,not-eligible,llm-estimated,none,local_internal,client_specific,The crash occurs in a local CLI setup tool (puppeth) and cannot be triggered remotely or impact the network.
geth:ethereum-go-ethereum:PR#17313,not-eligible,upstream-cvss,,,,
geth:ethereum-go-ethereum:PR#16630,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,"The panic occurs in a client-specific vendor library (goleveldb) when handling sizes >1TiB, which is not reachable via a single remote network packet or transaction."
geth:ethereum-go-ethereum:PR#16055,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,"The panic is triggered by a local configuration state during startup, not by a remote network packet or transaction."
geth:ethereum-go-ethereum:PR#15946,not-eligible,upstream-cvss,,,,
geth:ethereum-go-ethereum:PR#15665,not-eligible,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"The panic occurs in the JSON-RPC API layer, affecting only the local node's availability and not the network's consensus or stability."
geth:ethereum-go-ethereum:PR#15799,not-eligible,llm-estimated,none,local_internal,client_specific,"The panic occurs in the Private Debug API (RPC layer), which is not part of the consensus spec and is typically only accessible locally."
geth:ethereum-go-ethereum:PR#15714,not-eligible,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"The panic occurs in a txpool status query (API/tooling level), which crashes the individual node but does not impact the network-scale consensus or validity."
geth:ethereum-go-ethereum:PR#14790,not-eligible,upstream-cvss,,,,
geth:ethereum-go-ethereum:PR#14697,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,"The panic is triggered by reading invalid data from the local database, meaning it is not reachable via a single remote network packet or on-chain transaction."
geth:ethereum-go-ethereum:PR#3591,high,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A remote peer can trigger a panic (crash) in a dominant client, potentially bringing down >33% of the network."
geth:ethereum-go-ethereum:PR#2399,not-eligible,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"The panic occurs in a private RPC debug API, which does not affect consensus and is not a network-scale vulnerability."
geth:ethereum-go-ethereum:PR#1945,not-eligible,llm-estimated,local_only,local_internal,client_specific,The panic only affects the local RPC/IPC interface and does not impact network consensus or global liveness.
geth:ethereum-go-ethereum:PR#1974,not-eligible,llm-estimated,local_only,local_internal,client_specific,The panic occurs in the local admin RPC API and cannot be triggered by a remote network packet or on-chain transaction.
geth:ethereum-go-ethereum:PR#954,high,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A remote peer can trigger a panic in a dominant client (>33% share), leading to a widespread network outage."
geth:ethereum-go-ethereum:PR#687,not-eligible,llm-estimated,none,remote_single_message_or_tx,client_specific,The panic occurs in a GUI/tooling component (Mist/xeth) and has no impact on network consensus or production node stability.
geth:ethereum-go-ethereum:PR#195,high,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A single malicious transaction causes a panic in a dominant client (>45% share), bringing down >33% of the network."
geth:ethereum-go-ethereum:PR#35140,high,llm-estimated,liveness_dos,remote_single_message_or_tx,spec_level,"A nil pointer dereference during Engine API JSON marshalling can be triggered by a single remote packet, potentially crashing >33% of the network given the client's dominance."
geth:ethereum-go-ethereum:PR#33940,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,"The crash occurs only during the node's Stop sequence, which cannot be triggered by a remote network packet."
geth:ethereum-go-ethereum:PR#33015,not-eligible,llm-estimated,local_only,remote_single_message_or_tx,client_specific,"The panic occurs in the debug tracing RPC API, which is client-local and does not affect network consensus or liveness."
geth:ethereum-go-ethereum:PR#29864,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A remote p2p message can cause a panic in a dominant client, potentially bringing down >5% of the network."
geth:ethereum-go-ethereum:PR#27162,not-eligible,llm-estimated,local_only,remote_single_message_or_tx,client_specific,"The crash occurs in the RPC layer, affecting only the local node receiving the request and having no impact on network-wide consensus or stability."
geth:ethereum-go-ethereum:PR#27945,high,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A remote attacker can trigger a nil-pointer dereference panic in a dominant client, potentially taking down >33% of the network nodes."
geth:ethereum-go-ethereum:PR#28914,not-eligible,llm-estimated,none,local_internal,client_specific,"The issue is a local mempool persistence bug triggered by a process crash, having no remote reachability or network-scale impact."
geth:ethereum-go-ethereum:PR#28709,not-eligible,llm-estimated,none,local_internal,client_specific,The defect is in the build/CI tooling and cannot be triggered by a network packet or transaction.
geth:ethereum-go-ethereum:PR#26351,not-eligible,llm-estimated,none,local_internal,client_specific,The crash occurs in a debugging tracer that is not part of the consensus path and can only be triggered by a local operator enabling the tracer.
geth:ethereum-go-ethereum:PR#24200,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,"The crash is in the Light Client (LES) server handler and is listed as internally triggerable, posing no risk to network-wide consensus or the majority of nodes."
geth:ethereum-go-ethereum:PR#23701,not-eligible,llm-estimated,none,local_internal,client_specific,The bug is in the local developer console auto-completion and cannot be triggered via network packet or transaction.
geth:ethereum-go-ethereum:PR#22738,not-eligible,llm-estimated,none,local_internal,client_specific,The issue is a local CLI crash during initialization and cannot be triggered by a remote network packet or transaction.
geth:ethereum-go-ethereum:PR#23496,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,"The bug is triggered by local system crashes and affects local recovery, not by a remote network packet or transaction."
geth:ethereum-go-ethereum:PR#23437,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A remote malformed request can trigger a panic in the bloom matcher, bringing down a dominant client (~45-55% of nodes)."
geth:ethereum-go-ethereum:PR#23200,not-eligible,llm-estimated,none,local_internal,client_specific,"The crash occurs in a simulation mocker used for testing, not in production code reachable by network packets or transactions."
geth:ethereum-go-ethereum:PR#23168,not-eligible,upstream-cvss,,,,
geth:ethereum-go-ethereum:PR#22906,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,The crash is a local logic error in a DNS discovery iterator and cannot be triggered by a single remote network packet to crash the network.
geth:ethereum-go-ethereum:PR#22332,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,The crash occurs during a local sync restart process and cannot be triggered by a single remote network packet or transaction.
geth:ethereum-go-ethereum:PR#21279,not-eligible,llm-estimated,local_only,local_internal,client_specific,"The crash occurs in the local RPC keystore API, which does not affect the network, consensus, or other nodes."
geth:ethereum-go-ethereum:PR#21050,not-eligible,llm-estimated,local_only,local_internal,client_specific,The crashes occur in the local interactive JS console and cannot be triggered by remote network packets or on-chain transactions.
geth:ethereum-go-ethereum:PR#20595,not-eligible,llm-estimated,none,local_internal,client_specific,The crash occurs in a local build-time download utility and cannot be triggered by any remote network packet or transaction.
geth:ethereum-go-ethereum:PR#19579,high,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A single malicious P2P packet causes a nil pointer dereference panic, crashing a dominant client and potentially taking down >33% of the network."
geth:ethereum-go-ethereum:PR#19544,not-eligible,llm-estimated,local_only,local_internal,client_specific,The bug only manifests during local state recovery after a node crash and cannot be triggered by a remote network packet or transaction.
geth:ethereum-go-ethereum:PR#1842,not-eligible,llm-estimated,local_only,remote_single_message_or_tx,client_specific,"The panic is caught by the HTTP server, resulting in a failed request rather than a node crash, and it affects only the RPC layer."
geth:ethereum-go-ethereum:PR#17419,low,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"Remote crash in LES server mode causes DoS for the specific node, but does not affect consensus or full nodes."
geth:ethereum-go-ethereum:PR#17274,not-eligible,upstream-cvss,,,,
geth:ethereum-go-ethereum:PR#15017,not-eligible,upstream-cvss,,,,
geth:ethereum-go-ethereum:PR#3738,high,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,A single malicious block triggering a reorg crash in a client with >33% market share brings down >33% of the network.
geth:ethereum-go-ethereum:PR#2575,not-eligible,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"The crash occurs in the JSON-RPC API layer, affecting only the local node and not the consensus network or validators."
geth:ethereum-go-ethereum:PR#2084,not-eligible,llm-estimated,local_only,local_internal,client_specific,The crash occurs only in the local CLI console and cannot be triggered via a network packet or transaction.
geth:ethereum-go-ethereum:PR#1966,not-eligible,llm-estimated,none,local_internal,client_specific,The crash occurs only when a local user runs a specific CLI command incorrectly and cannot be triggered by a remote packet or transaction.
geth:ethereum-go-ethereum:PR#1774,not-eligible,llm-estimated,none,local_internal,client_specific,The crash occurs only in the local CLI console via user input and has no impact on the network or consensus.
geth:ethereum-go-ethereum:PR#1204,not-eligible,llm-estimated,local_only,local_internal,client_specific,"The crash is in the local mining worker triggered by internal sync state, not by a remote network packet or transaction."
geth:ethereum-go-ethereum:PR#28387,not-eligible,llm-estimated,none,local_internal,client_specific,"The fix addresses a memory leak in test utilities and a resource cleanup during client shutdown, neither of which can be triggered by a remote packet or transaction."
geth:ethereum-go-ethereum:PR#25603,low,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"Remote RPC calls can cause memory exhaustion and crash the node, but it requires multiple requests rather than a single packet to achieve a network-scale crash."
geth:ethereum-go-ethereum:PR#23861,not-eligible,llm-estimated,liveness_dos,remote_needs_conditions,client_specific,The bug is a memory leak over time in a specific consensus engine (Clique) and cannot be triggered by a single remote packet or transaction.
ea018c4d04c6a290,high,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,A crafted state root can trigger OOM crashes in the dominant client (>33% market share) during state sync via a remote trigger.
fbd4ae0fa6907fff,not-eligible,llm-estimated,liveness_dos,remote_needs_conditions,client_specific,A memory leak in the internal trie cache is a client-specific resource issue and does not constitute a network-scale impact reachable by a single transaction per EF guidelines.
8666fc7b00a31669,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,"The panic occurs during local database reads of history nodes, requiring local disk corruption rather than a remote network packet."
692509c8f997fada,not-eligible,llm-estimated,none,local_internal,client_specific,"The bug is a race condition occurring only during node shutdown, requiring local execution and having no impact on network consensus or value."
geth:ethereum-go-ethereum:PR#32206,not-eligible,llm-estimated,none,local_internal,client_specific,The fix addresses a race condition exclusively within the test suite and has no impact on the production network.
geth:ethereum-go-ethereum:PR#24685,low,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"Data races in the snapshot sync process can cause node crashes via malicious P2P messages, but this is client-specific sync logic and not a consensus-level failure."
geth:ethereum-go-ethereum:PR#24957,not-eligible,llm-estimated,liveness_dos,remote_needs_conditions,client_specific,"The vulnerability exists in the Clique (PoA) consensus engine, which is not used by the Ethereum Mainnet, and thus has no network-scale impact."
geth:ethereum-go-ethereum:PR#21664,not-eligible,llm-estimated,none,local_internal,client_specific,The fix is located entirely within a test helper file and has no impact on the production client code or network operation.
ae289caaccee6723,not-eligible,llm-estimated,none,local_internal,client_specific,"The fix addresses a race condition in a simulated backend used for local testing/mocks, which has no impact on the live network."
geth:ethereum-go-ethereum:PR#22540,high,llm-estimated,liveness_dos,remote_single_message_or_tx,spec_level,"A single transaction triggering this panic would crash the dominant client (~45-55% of nodes), bringing down >33% of the network."
geth:ethereum-go-ethereum:PR#22140,not-eligible,llm-estimated,none,local_internal,client_specific,"The fix addresses a race condition within a test file, which has no impact on the production network and cannot be triggered remotely."
geth:ethereum-go-ethereum:PR#19228,not-eligible,llm-estimated,none,local_internal,client_specific,The fix is applied only to a test file and does not impact production code or network stability.
geth:ethereum-go-ethereum:PR#18487,not-eligible,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"The crash occurs in the Swarm PSS P2P handler, which is not part of the core Ethereum consensus/execution spec and does not impact the network's ability to produce blocks or maintain consensus."
geth:ethereum-go-ethereum:PR#16146,not-eligible,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"Whisper is a non-consensus messaging protocol; a race condition here does not impact the Ethereum network's state, consensus, or validator security."
493b092b2d800eb6,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A race condition triggered by a crafted transaction could crash the client, affecting a significant minority (~10-20%) of the network's liveness."
geth:ethereum-go-ethereum:PR#3412,not-eligible,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"The bug affects only the local txpool state and does not impact consensus, chain integrity, or network-wide liveness."
9c1a16219f7485a8,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,The race condition is internal to the client's mining worker and cannot be triggered by a remote network packet or on-chain transaction.
406d1a1a20871b0f,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,The race condition is internal to the miner agent and cannot be triggered by a remote network packet or transaction.
e0438ffe61679359,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A race condition in the tx pool triggered by a remote transaction can crash the client, and with 10-20% market share, this falls into the Medium category (>5% down)."
grandine:grandinetech-grandine:PR#102,not-eligible,upstream-cvss,,,,
a11696bd3fed0e98,Medium,bounty-graded,,,,
grandine:beacon-api:PR#698,not-eligible,llm-estimated,none,local_internal,client_specific,"The changes are primarily lint updates and a fix in a benchmarking tool, with no evidence of a remote-triggerable network impact."
grandine:beacon-api:PR#662,not-eligible,llm-estimated,none,local_internal,client_specific,"The diff is a refactor to improve telemetry and tracing (adding ProcessingTimings and Spans) and does not fix a bug that impacts network liveness, integrity, or stability."
grandine:beacon-api:PR#654,low,llm-estimated,chain_split,remote_single_message_or_tx,spec_level,"A spec-level divergence in deposit validation would cause this client (<5% share) to split from the network, which falls under the Low severity tier (<5%)."
grandine:beacon-api:PR#549,not-eligible,upstream-cvss,,,,
0df949d9de931321,Medium,bounty-graded,,,,
grandine:beacon-api:PR#423,not-eligible,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"The vulnerability is in the Beacon API (RPC layer), which affects only the local node's availability and does not impact the network consensus or validators."
grandine:beacon-api:PR#356,low,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A division-by-zero panic in the P2P sync layer of a <5% client would bring down those specific nodes, mapping to the Low severity tier."
grandine:beacon-api:PR#263,not-eligible,llm-estimated,none,remote_single_message_or_tx,client_specific,"The fix addresses SSE event timing in the HTTP API, which is a tooling/monitoring concern with no impact on consensus or network stability."
c8d88b4192796c3e,low,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"The fix addresses P2P sync validation and DB modes in a minor client (<5%), meaning any single-packet crash would only affect a tiny fraction of the network."
lighthouse:sigp-lighthouse:GHSA-wm9c-xvqq-5c28,High,bounty-graded,,,,
lighthouse:sigp-lighthouse:PR#6581,not-eligible,llm-estimated,none,local_internal,client_specific,The change is purely documentation and does not affect any executable code or network logic.
fed6cf0f8a331be1,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,"The panic is caused by a startup race condition, which is internally triggerable and not reachable via a single remote network packet or transaction."
lighthouse:sigp-lighthouse:PR#5917,not-eligible,llm-estimated,none,local_internal,client_specific,"This is a local CLI crash occurring only in debug builds due to duplicate command aliases, with no remote trigger or network impact."
lighthouse:sigp-lighthouse:PR#5117,not-eligible,llm-estimated,none,local_internal,client_specific,"The fix addresses a panic in the local logging initialization, which cannot be triggered by remote messages and has no impact on network consensus."
lighthouse:sigp-lighthouse:PR#2350,not-eligible,llm-estimated,liveness_dos,remote_needs_conditions,spec_level,"The changes primarily clean up constants; the introduced panics occur in ChainSpec initialization, which is not triggerable by a single remote network packet or transaction."
lighthouse:sigp-lighthouse:PR#4975,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,"The issue is an internal database pruning atomicity bug that leads to local corruption, not triggerable by a single remote network packet or transaction."
lighthouse:sigp-lighthouse:PR#8065,high,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,A remote attacker can trigger an OOM crash in a client representing 30-40% of the network by sending attestations with random block roots.
33d025fb13879320,not-eligible,llm-estimated,none,local_internal,client_specific,The issue is a local race condition in the validator client's internal services and cannot be triggered by a remote packet or transaction.
lighthouse:sigp-lighthouse:PR#8039,not-eligible,llm-estimated,liveness_dos,remote_needs_conditions,client_specific,The bug is a client-specific sync race condition that does not cause network-scale impact via a single packet or transaction.
lighthouse:sigp-lighthouse:PR#8267,not-eligible,llm-estimated,none,local_internal,client_specific,The bug is a local race condition during synchronization backfill and cannot be triggered by a single remote network packet or transaction to impact network liveness or consensus.
4182e7f98b65b108,not-eligible,llm-estimated,none,remote_single_message_or_tx,client_specific,"The race condition causes local RPC data issues and cache misses, but does not impact network consensus, liveness, or validator security."
6fad56ffd2f16be8,high,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A race condition in PeerDAS data persistence could allow a remote attacker to prevent the client (~30-40% market share) from importing blocks, potentially bringing down >33% of the network."
lighthouse:sigp-lighthouse:PR#1282,not-eligible,llm-estimated,none,local_internal,client_specific,"The fix addresses a race condition in the validator's local duty scheduling and a REST API logic error, neither of which can be triggered by a remote attacker to cause network-scale impact."
28ac46bcf09773cf,high,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A race condition in block registration could lead to a panic during block iteration, potentially crashing >33% of the network given the client's market share."
lighthouse:sigp-lighthouse:PR#944,not-eligible,llm-estimated,none,local_internal,client_specific,"The fix addresses a race condition within a test simulator, which is local tooling and has no impact on the live network."
lighthouse:sigp-lighthouse:ISSUE#6875,not-eligible,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"The issue is a potential integer overflow in a client-specific RPC rate-limiter which, at worst, causes a local node crash or rate-limit bypass, not meeting the threshold for network-scale impact."
lighthouse:sigp-lighthouse:ISSUE#4293,not-eligible,llm-estimated,none,local_internal,client_specific,"This is a feature request to implement a new API endpoint, not a vulnerability with network impact."
27a80054839cd95e,not-eligible,upstream-cvss,,,,
lighthouse:sigp-lighthouse:ISSUE#2778,not-eligible,llm-estimated,local_only,local_internal,client_specific,The vulnerability is a local privilege escalation in a system dependency of the Docker image and cannot be triggered by a remote network packet or on-chain transaction.
lighthouse:sigp-lighthouse:ISSUE#2443,not-eligible,upstream-cvss,,,,
lighthouse:sigp-lighthouse:ISSUE#2086,not-eligible,upstream-cvss,,,,
lighthouse:sigp-lighthouse:ISSUE#1773,high,llm-estimated,chain_split,remote_single_message_or_tx,spec_level,A spec-level consensus divergence triggered by a P2P message in a client with 30-40% share can lead to a network split or crash exceeding the 33% threshold.
lighthouse:sigp-lighthouse:ISSUE#1709,not-eligible,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,The memory consumption (approx 43MB) is too negligible to crash nodes or impact network liveness.
lighthouse:sigp-lighthouse:ISSUE#891,high,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,Disk exhaustion via malicious forks could crash >33% of the network given this client's market share.
lighthouse:sigp-lighthouse:ISSUE#800,high,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A single malicious block can trigger OOM in a client with >33% market share, bringing down a significant portion of the network."
lighthouse:networking:PR#9529,not-eligible,llm-estimated,none,local_internal,client_specific,The change is limited to removing redundant code within a test file and has no impact on production network logic.
lighthouse:networking:PR#9437,not-eligible,llm-estimated,none,remote_single_message_or_tx,client_specific,"An HTTP API error (500) in the validator data endpoint does not impact network liveness, value integrity, or consensus."
lighthouse:networking:PR#9393,not-eligible,llm-estimated,none,local_internal,spec_level,"The submission is a spec update implementation for Gloas alpha, not a report of a security vulnerability."
5cb501b9c3e9495a,not-eligible,llm-estimated,none,local_internal,client_specific,The code changes are located entirely within a test utilities file and do not affect production logic.
lighthouse:networking:PR#9321,high,llm-estimated,liveness_dos,remote_single_message_or_tx,spec_level,Replacing panics (todo!/expect) in gossip-reachable spec-level code for a client with >33% market share prevents a single-packet network-wide DoS.
lighthouse:networking:PR#9312,not-eligible,llm-estimated,none,remote_single_message_or_tx,client_specific,The change only modifies error hinting in the HTTP API and has no impact on consensus or network stability.
ce53375ee1a6c3d4,Medium,bounty-graded,,,,
lighthouse:networking:PR#9233,high,llm-estimated,chain_split,remote_single_message_or_tx,spec_level,A consensus divergence in fork-choice logic for a client with 30-40% market share can cause a chain split affecting >33% of the network.
lighthouse:networking:PR#9177,high,llm-estimated,chain_split,remote_single_message_or_tx,spec_level,"Aligning fork-choice reorg thresholds to spec prevents a potential chain split involving a major client (~30-40% share), which exceeds the 33% threshold for High severity."
lighthouse:networking:PR#9141,high,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A single malicious attestation can crash a major client (~30-40% share) via OOM, bringing down >33% of the network."
lighthouse:networking:PR#9106,not-eligible,llm-estimated,chain_split,remote_needs_conditions,spec_level,"The bug requires total_active_balance to be 0, which cannot be achieved by a single transaction/packet on a functioning network."
lighthouse:networking:PR#9090,high,llm-estimated,liveness_dos,remote_single_message_or_tx,spec_level,O(n^2) complexity and stack overflow in spec-level fork-choice logic allows a single remote trigger to crash a major client representing >33% of the network.
lighthouse:networking:PR#8776,not-eligible,llm-estimated,none,remote_single_message_or_tx,client_specific,The bug only causes contradictory values in an error log/metric and does not affect the consensus outcome or network liveness.
lighthouse:networking:PR#8743,not-eligible,upstream-cvss,,,,
lighthouse:networking:PR#8617,not-eligible,upstream-cvss,,,,
8ffb7819b9f00250,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,Slow memory leak (7MB/day) is a local resource issue and not triggerable by a single remote packet or transaction to take down the network.
lighthouse:networking:PR#8496,high,llm-estimated,chain_split,remote_single_message_or_tx,spec_level,Incorrect BLS infinity flag tracking in a major client leads to consensus divergence and a chain split affecting >33% of the network.
lighthouse:networking:PR#8383,not-eligible,llm-estimated,none,local_internal,client_specific,"The changes are limited to the Makefile and test comments, affecting only the build/test process and not the running consensus client."
lighthouse:networking:PR#8042,not-eligible,llm-estimated,none,remote_single_message_or_tx,client_specific,"The issue is a P2P peer-scoring bug that does not impact consensus, value integrity, or network liveness."
lighthouse:networking:PR#7957,high,llm-estimated,liveness_dos,remote_single_message_or_tx,spec_level,A single malformed packet causing a panic in a client with >33% market share can bring down the network liveness.
lighthouse:networking:PR#7921,medium,llm-estimated,chain_split,remote_single_message_or_tx,spec_level,Missing KZG validation on data columns allows a remote attacker to trigger a state divergence/split for nodes using this client (30-40% of network) via a malicious P2P sync message.
lighthouse:networking:PR#7792,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"Logic error in PeerDAS column processing for a major client could lead to node failure or incorrect DA verification, potentially impacting >5% of the network."
